Frequency,BASF_R1,BASF_R2,NORDL,BASF_R100,BASF_R200,BASF_R1000,BASF_R500,BASF_R700,BASF_R800,ZANDV
1982,0.15495174190332,0.15125839560791,2.21265872368409,538.543965905577,47.4222612229235,67.0642650776945,76.0795894877246,149.579781188415,56.6897984472517,1.2934698345476
1984,0.131775258940421,0.127413836826082,2.18993598844273,517.804702440276,47.3074577744336,66.5176078615624,75.4052699128416,147.051436959099,56.3073728678766,1.26858172106376
1986,0.110402288420397,0.105160485076053,2.16721217048507,498.638234832067,47.1932771894229,65.9891970457305,74.7548538303048,144.653368674782,55.9367054112347,1.24367379315455
1988,0.0921406176627909,0.0857930025333695,2.14448403713139,480.871965554195,47.0797141954514,65.4774814007894,74.1262781051805,142.373127185994,55.5767928067674,1.21874370644271
1990,0.0792249592268323,0.0717468571828617,2.12174872755421,464.357653982601,46.9667635872375,64.9811157406238,73.5177539007444,140.199944512678,55.2267661487014,1.19378937873726
1992,0.0745462031367515,0.0665478254002613,2.0990036896758,448.967268415394,46.8544202243546,64.4989263895308,72.9277207229068,138.124451674446,54.8858683113418,1.16880894806876
1994,0.0796245346956872,0.0721941147764966,2.07624662945246,434.589657395936,46.7426790292325,64.0298834259286,72.3548094815044,136.138451929786,54.5534357993438,1.14380073932198
1996,0.0929199029560226,0.0866398677371241,2.05347546979552,421.127857657058,46.6315349853996,63.5730781985285,71.7978125670058,134.234737110363,54.2288840485765,1.11876323761321
1998,0.111571338104036,0.106399924684604,2.03068831705873,408.496901095791,46.5209831359159,63.1277049805256,71.2556594331583,132.40693776816,53.9116954350754,1.09369506703165
2000,0.133384076176627,0.12909106052504,2.00788343351248,396.622016139044,46.4110185819594,62.6930458979558,70.7273965361791,130.649400070521,53.6014094266609,1.06859497370235
2002,0.157075816971757,0.153448360922584,1.98505921459277,385.43714319623,46.3016364815388,62.268458468487,70.2121707473857,128.957084017042,53.2976144427639,1.04346181238549
2004,0.181939836780011,0.178818555623986,1.96221416998311,374.883702045687,46.1928320483076,61.8533652363746,69.7092155550381,127.325478775603,52.9999410858313,1.01829453602165
2006,0.207578438614848,0.204849094638226,1.93934690779719,364.909562665988,46.0846005504643,61.4472451019681,69.2178395210518,125.75053185639,52.7080564814124,0.993092187783875
2008,0.233757839536241,0.231338345301818,1.91645612128345,355.468181399669,45.9769373097235,61.0496260297947,68.7374165721905,124.228589543114,52.4216595200985,0.967853895317532
2010,0.260334112049111,0.258164479917299,1.89354057759325,346.517872281024,45.8698377003477,60.6600788848798,68.2673777926694,122.756346537097,52.1404768374405,0.942578866943828
2012,0.287214812752815,0.285250295405408,1.87059910824962,338.021189488968,45.7632971482305,60.2782121976546,67.8072044525381,121.330803184138,51.8642594011616,0.917266389694391
2014,0.314338328606479,0.312544857542361,1.8476306010219,329.944401649536,45.6573111300239,59.90366769723,67.3564220586737,119.94922897613,51.5927796007928,0.891915829110099
2016,0.341662272930074,0.340013411288299,1.82463399297042,322.257042440054,45.5518751723049,59.5361164836928,66.9145952562918,118.609131271606,51.3258287550699,0.866526630816354
2018,0.36915669032708,0.367631565912303,1.80160826447038,314.931524883121,45.4469848507757,59.1752557344247,66.4813234412647,117.308228378147,51.0632149683728,0.841098323957806
2020,0.396799923761058,0.395381800299654,1.77855243405691,307.942809045225,45.3426357894935,58.8208058587456,66.0562369692277,116.044426297169,50.8047612801226,0.815630526650791
2022,0.42457601364353,0.423251283825399,1.75546555396415,301.268114709908,45.2388236601275,58.4725080305887,65.6389938679346,114.815798557323,50.5503040611363,0.790122953708364
2024,0.452473010486296,0.451230472818126,1.73234670625324,294.886672082158,45.1355441812402,58.130122041263,65.2292769757642,113.620568663559,50.2996916190256,0.76457542699454
2026,0.480481850167656,0.479312180398151,1.7091949994402,288.779504779134,45.0327931175899,57.7934244243251,64.8267914425314,112.457094770222,50.0527829812503,0.738987888905683
2028,0.508595585837849,0.507490944233898,1.68600956555297,282.92924033289,44.9305662794533,57.4622068126561,64.4312625395003,111.323856252392,49.8094468297197,0.713360419640963
2030,0.536808851914691,0.535762587045104,1.66278955755678,277.319944220858,44.8288595219668,57.136274494415,64.0424337342436,110.219441903405,49.5695605651439,0.687693259161942
2032,0.565117482664824,0.56412390486621,1.63953414709687,271.936974085642,44.7276687444841,56.8154451399192,63.6600649931561,109.142539530313,49.3330094828562,0.661986835027344
2034,0.593518236004924,0.592572441923573,1.61624252251691,266.766851336284,44.6269898899496,56.4995476759264,63.2839312803045,108.091926755177,49.0996860447232,0.636241797719041
2036,0.62200859026918,0.621106325370279,1.59291388711772,261.79714776071,44.526818944287,56.188421287439,62.9138212261577,107.066462859824,48.8694892341453,0.610459065617202
2038,0.650586592508752,0.649724142174527,1.56954745762591,257.016385141177,44.4271519358009,55.8819145301751,62.5495359437578,106.065081536373,48.6423239831335,0.58463988259073
2040,0.679250743744452,0.67842484616017,1.54614246284811,252.413946166033,44.3279849345919,55.5798845393663,62.1908879732453,105.086784426358,48.4181006620867,0.558785892267436
2042,0.707999911126177,0.707207686955514,1.52269814248888,247.979995182101,44.2293140519837,55.2821963226402,61.8377003384389,104.130635348405,48.196734624276,0.532899234661486
2044,0.736833259938917,0.736072155070962,1.49921374611557,243.705407542637,44.1311354399621,54.9887221265065,61.4898057015122,103.195755128774,47.9781457981866,0.506982673164175
2046,0.765750200431611,0.765017939003605,1.47568853225419,239.581706482586,44.033445290625,54.6993408674422,61.1470456037846,102.281316961166,47.7622583218387,0.481039763377009
2048,0.794750345853949,0.794044891422503,1.45212176760509,235.601006601878,43.9362398356429,54.4139376198225,60.809269782293,101.386542232349,47.5490002140268,0.455075080484039
2050,0.823833479037874,0.823153002267827,1.4285127263677,231.755963163671,43.83951534573,54.1324031539965,60.4763355532283,100.510696758807,47.3383030781004,0.429094529912792
2052,0.852999525580238,0.852342377185336,1.40486068966643,228.039726521298,43.7432681301248,53.8546335187041,60.148107254499,99.6530873869272,47.1301018345071,0.403105778653953
2054,0.882248532159307,0.881613220106438,1.3811649450712,224.445901078782,43.6474945360802,53.5805296627965,59.8244557407194,98.8130589154593,46.9243344788038,0.377118864888624
2056,0.911580648871841,0.910965819070928,1.35742478620799,220.968508267311,43.5521909483626,53.3099970918691,59.505257924766,97.9899913043202,46.7209418622812,0.351147076942301
2058,0.940996114770849,0.940400534630501,1.33363951245615,217.601953086619,43.4573537887602,53.0429455559787,59.1903963608064,97.1832971383764,46.5198674927012,0.325208249018224
2060,0.97049524593222,0.969917790288166,1.3098084287308,214.340993817095,43.3629795155993,52.7792887650926,58.8797588643292,96.3924193187368,46.3210573529664,0.299326719391136
2062,1.00007842556926,0.999518064586853,1.2859308453489,211.180714557564,43.2690646232696,52.5189441293305,58.5732381652651,95.6168289574701,46.1244597358079,0.273536373371195
2064,1.02974609579323,1.0292018845218,1.26200607798224,208.116500285879,43.1756056417563,52.2618325214173,58.270731590748,94.8560234545749,45.9300250928091,0.247885522037346
2066,1.05949875071449,1.05896982003082,1.23803344769737,205.144014176012,43.0825991361818,52.0078780590691,57.9721407744916,94.109524738532,45.7377058962856,0.222445002204187
2068,1.08933693064151,1.08882247936673,1.21401228108867,202.259176937009,42.9900417063533,51.7570079053069,57.6773713900968,93.3768776539666,45.547456512717,0.197322153816653
2070,1.11926121718272,1.11876050519559,1.18994191050961,199.458147966626,42.8979299863185,51.5091520849198,57.3863329059268,92.6576484818406,45.3592330865735,0.17268596105715
2072,1.14927222909259,1.14878457129183,1.16582167441043,196.73730813635,42.8062606439291,51.2642433155027,57.098938359448,91.9514235792484,45.1729934335169,0.148814183370921
2074,1.17937061873994,1.17889537973339,1.14165091779215,194.093244045422,42.71503038041,51.0222168516718,56.8151041491697,91.257808127333,44.9886969420669,0.126184615831254
2076,1.20955706909273,1.20909365851104,1.1174289927903,191.522733599652,42.6242359299369,50.7830103412142,56.5347498425297,90.5764249771091,44.8063044829273,0.105651338271217
2078,1.23983229114138,1.23938015949002,1.09315525940415,189.022732786766,42.533874059219,50.5465636920624,56.2577979982409,89.906913584077,44.6257783252513,0.0887462352236228
2080,1.27019702168226,1.26975565665988,1.06882908639026,186.590363534063,42.4439415670898,50.3128189491018,55.98417400178,89.2489290234943,44.4470820592072,0.0779431130832173
2082,1.30065202141827,1.30022094463949,1.04444985234598,184.222902546411,42.3544352841034,50.0817201799314,55.7138059128408,88.6021410790258,44.2701805242688,0.0759712560248848
2084,1.33119807331662,1.33077683738769,1.02001694701029,181.917771033462,42.2653520721371,49.8532133687783,55.4466243236864,87.9662333982468,44.0950397427184,0.0835305094406743
2086,1.36183598119572,1.36142416709808,0.995529772819497,179.67252524452,42.1766888240004,49.6272463178591,55.182562227455,87.3409027091394,43.9216268579022,0.098511105751639
2088,1.39256656850309,1.39216378324692,0.970987746760332,177.484847737936,42.0884424630502,49.4037685555441,54.9215548955658,86.7258580923213,43.7499100768245,0.118174869274824
2090,1.42339067725827,1.42299655177333,0.946390302575478,175.35253931937,42.0006099428112,49.1827312507527,54.6635397634508,86.1208203042656,43.5798586167084,0.140614907208051
2092,1.45430916713909,1.45392335437474,0.921736893386268,173.273511589884,41.9131882466029,48.9640871330571,54.4084563239253,85.5255211472302,43.4114426551887,0.164739332094768
2094,1.48532291469088,1.48494508790068,0.897026994815524,171.245780050712,41.8261743871716,48.7477904180265,54.1562460275636,84.9397028820361,43.2446332838335,0.18994176188891
2096,1.51643281264321,1.51606266383327,0.872260108711057,169.267457716782,41.7395654063282,48.5337967373892,53.9068521895214,84.3631176802055,43.0794024647233,0.215875781069856
2098,1.54763976931951,1.5472770078421,0.847435767596744,167.336749195729,41.6533583745914,48.322063073625,53.6602199022849,83.7955271122918,42.9157229898379,0.242334588581152
2100,1.57894470812853,1.57858905940497,0.822553540009371,165.451945193282,41.5675503908366,48.1125476986442,53.4162959538829,83.2367016695282,42.7535684430293,0.269189120114638
2102,1.61034856712754,1.6099997714862,0.797613036920951,163.61141740962,41.482138581949,47.9052101162326,53.1750287511438,82.6864203161973,42.5929131643759,0.296355527355046
2104,1.6418522986486,1.64151011026603,0.772613919501065,161.813613794638,41.3971201024832,47.7000110079773,52.9363682476044,82.1444700703419,42.4337322167345,0.32377740720453
2106,1.67345686897806,1.6731210549126,0.747555908543017,160.05705413298,41.3124921343268,47.4969121824116,52.7002658757293,81.6106456106655,42.2760013543217,0.351415675956089
2108,1.70516325808907,1.70483359739681,0.722438795972281,158.340325932435,41.2282518863692,47.2958765271381,52.4666744831151,81.0847489076489,42.1196969931708,0.379242564642002
2110,1.73697245941337,1.73664874233905,0.697262458980376,156.662080591631,41.1443965941756,47.0968679637155,52.235548272391,80.5665888770932,41.9647961833271,0.407237926050286
2112,1.7688854796559,1.76856750689032,0.672026877495669,155.021029825141,41.0609235196652,46.8998514051055,52.0068427445499,80.0559810544426,41.8112765826516,0.435386887860804
2114,1.80090333863898,1.80059092063747,0.646732155931495,153.415942326048,40.9778299507945,46.7047927155029,51.7805146454635,79.5527472883864,41.6591164321182,0.463678316965861
2116,1.83302706918318,1.83272002553826,0.621378550468495,151.845640647776,40.8951132012452,46.5116586723765,51.5565219153606,79.0567154523649,41.5082945324982,0.492103788025346
2118,1.86525771701208,1.86495587587587,0.595966503566768,150.308998288536,40.812770610116,46.3204169305718,51.3348236410632,78.5677191727172,41.3587902223327,0.520656874331262
2120,1.89759634068227,1.89729953823375,0.570496688023522,148.804936963219,40.7307995416202,46.1310359883332,51.1153800107914,78.0855975723162,41.2105833571056,0.549332649958358
2122,1.93004401153827,1.92975209149136,0.544970063778208,147.3324240488,40.6491973847853,45.9434851551167,50.8981522713637,77.6101950286166,41.0636542895334,0.578127333606092
2124,1.96260181368512,1.96231462683372,0.519387951951743,145.89047019052,40.56796155316,45.7577345210734,50.6831026876361,77.141360945153,40.9179838508967,0.607038029432708
2126,1.995270843983,1.99498824777988,0.49375213249914,144.478127057161,40.4870894845222,45.5737549280964,50.470194504031,76.6789495355682,40.7735533333444,0.636062535542354
2128,2.02805221205446,2.02777407022109,0.468064974693384,143.094485234689,40.4065786405938,45.3915179423286,50.2593919080205,76.2228196193552,40.630344473106,0.665199200463793
2130,2.06094704031261,2.06067322247686,0.442329613990494,141.738672248412,40.3264265067577,45.2109958280369,50.0506599954422,75.7728344285383,40.4883394345523,0.694446814215509
2132,2.09395646399803,2.09368684535796,0.41655019557862,140.409850704596,40.2466305917796,45.03216152277,49.8439647375271,75.3288614245873,40.3475207950524,0.723804524641696
2134,2.12708163123438,2.12681609224527,0.390732215679035,139.107216543205,40.167188427534,44.8549886137173,49.6392729495389,74.8907721249123,40.2078715305737,0.753271772472025
2136,2.16032370309107,2.16006212917443,0.364883009250363,137.829997394084,40.0880975687331,44.6794513151966,49.436552260921,74.4584419383266,40.0693750019802,0.782848240407326
2138,2.19368385366173,2.19342613493393,0.339012462272127,136.577451029516,40.0093555926604,44.5055244472013,49.2357710868612,74.031750008926,39.9320149419857,0.812533812842006
2140,2.22716327015034,2.22690930116958,0.31313407787566,135.348863906613,39.9309600989077,44.3331834149446,49.0368986011914,73.610579067856,39.7957754427215,0.842328543730939
2142,2.2607631529688,2.26051283249879,0.287266617040485,134.143549793524,39.8529087091154,44.1624041893414,48.839904710539,73.1948152924912,39.6606409438825,0.872232630753479
2144,2.29448471584344,2.29423794663279,0.261436704533315,132.960848473878,39.7751990667171,43.9931632883734,48.6447600296613,72.784348172572,39.5265962214157,0.902246394393214
2146,2.32832918592904,2.32808587450473,0.235683120170397,131.800124524321,39.697828836687,43.8254377592861,48.4514358578918,72.3790703828919,39.3936263767218,0.93237026088301
2148,2.36229780393468,2.36205786040872,0.210064164378368,130.660766160379,39.6207957052915,43.6592051615712,48.2599041566354,71.9788776621371,39.2617168263372,0.962604748218587
2150,2.39639182425256,2.39615516214098,0.184670916414173,129.542184146223,39.5440973798436,43.4944435506899,48.0701375278543,71.5836686975259,39.1308532920716,0.992950454620394
2152,2.43061251509892,2.43037905115192,0.159652426667522,128.443810764255,39.4677315884612,43.3311314624949,47.8821091934899,71.1933450149124,39.0010217915732,1.02340804896797
2154,2.46496115865921,2.46473081270179,0.135266526964344,127.36509884071,39.3916960798281,43.1692478983153,47.6957929757669,70.8078108740344,38.8722086292991,1.05397826282988
2156,2.49943905124197,2.49921174602427,0.111988563034997,126.305520823765,39.3159886229587,43.0087723106661,47.5111632783334,70.426973168623,38.7444003878683,1.08466188379493
2158,2.53404750343748,2.53382316449406,0.0907526965160786,125.26456791087,39.2406070069663,42.8496845895501,47.328195068193,70.0507413310945,38.6175839197756,1.1154597498689
2160,2.56878784028541,2.56856639580297,0.0734511754441016,124.24174922226,39.165549040833,42.6919650493202,47.1468638583845,69.6790272415737,38.4917463394475,1.14637274475047
2162,2.60366140144661,2.60344278213933,0.0635057021331184,123.236591017839,39.0908125531851,42.5355944160737,46.9671456913715,69.3117451410079,38.3668750156229,1.17740179383496
2164,2.63866954138176,2.63845368037394,0.0645328211841554,122.248635954784,39.0163953920689,42.3805538155503,46.7890171231044,68.9488115481521,38.242957564039,1.208547860825
2166,2.67381362953615,2.67360046225164,0.0761880430696861,121.277442383421,38.9422954247318,42.226824761509,46.6124552077218,68.5901451802153,38.1199818404092,1.23981194484778
2168,2.70909505053053,2.70888451458832,0.094703020815753,120.322583679108,38.8685105374047,42.0743891445574,46.437437482856,68.23566687697,37.9979359336765,1.27119507799971
2170,2.74451520435652,2.74430723947225,0.116928143247936,119.383647607967,38.7950386350883,41.9232292214147,46.2639419555155,67.885299528149,37.8768081595286,1.30269832325091
2172,2.78007550657955,2.77987005447236,0.141177423718747,118.460235724506,38.7218776413418,41.7733276045837,46.0919470885136,67.5389680039484,37.7565870541617,1.33432277265558
2174,2.81577738854601,2.8155743928507,0.166617645989559,117.551962799258,38.6490254980747,41.6246672524125,45.9214317874169,67.1965990884843,37.6372613682808,1.36606954582218
2176,2.85162229759561,2.85142170377933,0.192820562055405,116.658456274714,38.576480165341,41.4772314595289,45.7523753879891,66.8581214160466,37.5188200613247,1.39793978860634
2178,2.88761169728148,2.88741345256511,0.219551383068843,115.779355747927,38.5042396211361,41.3310038476274,45.5847576441059,66.5234654100081,37.4012522959049,1.4299346719952
2180,2.92374706759317,2.92355112087662,0.246673120194126,114.914312478281,38.4323018611973,41.1859683565932,45.4185587161188,66.1925632242579,37.2845474324475,1.46205539115558
2182,2.96002990518609,2.95983620697775,0.274101450548282,114.062988918996,38.3606648988056,41.0421092359476,45.2537591596453,65.8653486870305,37.1686950240301,1.4943031646251
2184,2.99646172361765,2.9962702259674,0.301782109355546,113.225058271048,38.2893267645908,40.8994110366,45.0903399147679,65.5417572470131,37.0536848114022,1.52667923362684
2186,3.03304405358646,3.03285471002222,0.3296788797717,112.400204058283,38.2182855063396,40.7578586028919,44.9282822956227,65.2217259216195,36.9395067181831,1.55918486149149
2188,3.06977844317967,3.06959120864688,0.35776686540437,111.588119722515,38.147539188805,40.6174370649198,44.7675679803569,64.9051932473255,36.8261508462269,1.59182133317416
2190,3.10666645812318,3.10648128892776,0.386028542610652,110.788508237561,38.0770858935194,40.4781318311256,44.6081790014434,64.5920992319667,36.7136074711488,1.62458995485314
2192,3.14370968203983,3.14352653579368,0.414451348232716,110.001081741173,38.0069237186093,40.3399285811407,44.4500977363326,64.282385308904,36.6018670380037,1.65749205360249
